,Unnamed: 0,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density
363,363,beef gravy instant,25,0.6,0.3,0.2,0.08,4.1,1.6,0.7,0.3,0.7,0.3,0.3,0.1,0.085,0.065,0.009,0.027,0.026,0.012,0.1,0.01,0,0.002,0.021,9.4,0.067,0.4,2.7,0.091,16,30.2,0.049,0.082,15.598
364,364,horseradish,2,0.085,0.007,0.005,0.029,0.6,0.4,0.003,0.2,0,0.039,4.3,0,0,0.056,0.052,0,0.02,0.037,0.048,0.081,1.2,0,0.012,0.027,2.8,0.052,0.04,1.4,0.062,1.6,12.3,0.016,1.133
365,365,grenadine,54,0,0,0,0,13.4,9.3,0,0,0,0.038,6.5,0,0,0,0,0.064,0,0,0,0,0,0,0,1.2,0.044,0.011,0.8,0,0.8,5.6,0.051,0.066,14.63
366,366,tabasco sauce,1,0.002,0.051,0.086,0.089,0.006,0.067,0.045,0.013,0,0.075,4.5,0,0.056,0.059,0,0.066,0.091,0.081,0,0.2,0,0.014,0.031,0.6,0.017,0.019,0.6,0.038,1.1,6,0.063,0.089,1.054
367,367,sweet sour sauce,26,0.084,0,0,0,6.7,3.3,0.02,0.065,0,0.024,10.5,0,0.048,0.079,0,0.08,0.026,0.021,0.09,1.5,0,0.1,0.002,1.8,0.011,0.021,1.4,0.1,1.2,17.3,0.006,0.072,10.183
368,368,salsa verde,6,0.1,0,0,0,1,0.5,0.2,0.3,0,0.034,13.4,0,0.027,0.084,0,0.005,0.2,0.021,0.093,1.8,0,0.097,0.003,1.4,0.075,0.079,2.9,0.076,6.2,38.9,0.086,0.067,4.826
369,369,miso,40,1.2,0.2,0.2,0.6,5.1,1.2,2.6,1.1,0,0.7,8.6,0,0,0.082,0.063,0.045,0.06,0.2,0.015,0.04,0,0,0.065,0.094,11.4,0.046,0.5,9.6,0.2,31.8,42,0.092,10.193
370,370,sprouted soybean cooked,76,4.2,0.6,0.9,2.4,6.1,0.4,8,0.8,0,0.2,74.7,0,0.2,0.023,0,0.052,1,0.7,0.079,7.8,0,0.2,0.024,55.5,0.3,1.2,56.4,0.7,126.9,333.7,0.042,1,83.6
371,371,soy flour roasted,375,18.6,2.7,4.1,10.5,28.6,6.5,29.6,8.2,0,0.083,3.2,0,0.4,0.2,0,0.8,2.8,1,0.3,0,0,1.7,0.087,159.8,1.9,4.9,313.7,1.8,404.6,1734.9,0.029,3,249.7
372,372,soy flour low fat,330,7.8,1.1,1.3,3.7,30.7,9.3,40,14.1,0,0.085,4.1,0,1,0.3,0,0.2,2.6,1.4,0.9,0,0,0.5,0.023,250.8,1.4,7.2,250.8,2.8,594,1839.2,0.055,3.6,350.6
373,373,green soybean cooked,127,5.8,0.7,1.1,2.7,9.9,0,11.1,3.8,0,0.2,61.7,0,0,0.2,0.01,0,0.1,1.1,0.1,0.007,15.3,0,0,0,130.5,0.1,2.3,54,0.5,142.2,485.1,0,30.78
374,374,azumaya tofu vitasoy,316,16.6,2,4.7,9.9,9.1,1.6,32.8,2.4,0,0.03,331.8,0,0,0,0,0,0,0,0,0,0,0,0,711,0,5.1,0,0,0,0,0,0,777
375,375,soy proteins isolate,96,1,0.1,0.2,0.5,2.1,0,22.8,1.6,0,0.3,1.4,0,0.037,0.01,0,0.085,0.4,0.079,0.006,0,0,0,0,50.4,0.5,4.1,11,0.4,219.6,22.9,0.011,1.1,82
376,376,tofu yogurt,246,4.7,0.7,1,2.7,41.8,3.2,9.2,0.5,0,0.03,203.1,0,0,0.2,0.004,0,0.027,0.6,0,0.048,6.6,0,0.8,0.013,309.2,0.2,2.8,104.8,0,99.6,123.1,0.068,56.57
377,377,bacon meatless,446,42.5,6.7,10.2,22.2,9.1,0,15.4,3.7,0,2.1,70.5,0,6.3,0.047,0,0.7,10.9,0.2,0.7,0,0,9.9,0,33.1,0.2,3.5,27.4,0.3,100.8,244.8,0.004,0.6,107.3
378,378,meatless chicken fried,304,16.6,1.5,4.2,6,11.1,0,27.7,5.6,0,0.5,73.4,0,1.7,0.017,0.038,0.5,16.6,0,1.1,0,0,2.5,0,54.6,0.7,5,15.6,0,318.5,390,0.037,0.8,120.6
379,379,soymilk,109,4.8,0.5,1,2.9,8.4,6.1,7.1,1,0,0.1,221.1,0,0,0.2,0.007,0.061,0.5,8,0,0.6,17.5,0.069,6.1,0,340.2,0.3,1.2,0,0,0,342.6,0.099,22.2
380,380,soy vermicelli,463,0.1,0.092,0.005,0.093,115.2,24.4,0.1,5.5,0,0.032,16.7,0,0,0,0,0,0,0,0,0,0,0.7,0.019,77,2.7,2.5,2.8,0,28,4.2,0.017,5.9,200.4
381,381,tofu fried,35,2.6,0.4,0.6,1.5,1.2,0.4,2.4,0.5,0,0.021,6.6,0,0,0.01,0.036,0,0.054,0.073,0.041,0.094,0,0,0.011,0.099,48.4,0.051,0.6,7.8,0.2,37.3,19,0.038,6.832
382,382,tempeh,320,17.9,3.7,5,6.4,15.6,0,30.8,0,0,0.068,99,0,0.1,0.086,0.096,0.6,4.4,0.5,0.4,0,0,0,0,184.3,0.9,4.5,134.5,2.2,441.6,683.9,0,1.9,253.1
383,383,koyadofu,81,5.2,0.7,1.1,2.9,1.7,0,8.9,1.2,0,0.081,1,0,0,0.021,0.078,0,0.041,0.2,0.011,0.029,0.1,0,0,0,61.9,0.2,1.7,10,0.6,82.1,3.4,0.04,17.237
384,384,meatless meatloaf,110,5,0.8,1.2,2.6,4.5,0.7,11.8,2.6,0,0.3,32.5,0,0.5,0.066,0.062,0.3,5.6,0,0.7,0,0,1,0,16.2,0.4,1.2,10.1,0,192.6,100.8,0.02,1,41.3
385,385,soya vanille joghurt alpro,21,0.6,0.1,2.7,2.6,1,0.09,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9
386,386,soybean curd cheese,340,18.2,2.6,4,10.3,15.5,3.6,28.1,0,0,0.094,159.5,0,0,0.006,0,0.3,1.1,0.3,0.2,0,0,1.4,0.011,423,0.9,12.6,513,2,499.5,447.8,0.068,3.9,497.4
387,387,soy sauce,8,0.054,0.025,0.059,0.099,0.8,0.097,1.3,0.1,0,0.9,11.4,0,0,0.012,0.04,0,0.073,0.4,0.046,0.01,0,0,0,0,5.3,0.031,0.2,11.8,0.2,26.6,69.6,0.087,2.293
388,388,soybean dry roasted,419,20.1,2.9,4.4,11.4,30.4,0,36.8,7.5,0,0.077,0.7,0,0.4,0.2,0,0.7,1,0.4,0.2,4.3,0,0,0.076,130.2,1,3.7,212,2,603.6,1268.5,0.028,4.4,233
389,389,soybean oil,120,13.6,2.1,3.1,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0.064,0,0,0.048,0,0,0,0,0,0.095,13.67
390,390,meatless chicken,376,21.4,3.1,4.6,12.2,6.1,0,39.7,6,0,1.2,98.9,0,0.1,0.1,0.068,0.4,2.4,1,1.2,0,0,4.5,0,58.8,1.2,5.5,28.6,2,562.8,90.7,0.012,1.2,137.5
391,391,soybean cooked,296,15.4,2.2,3.4,8.7,17.1,5.2,28.6,10.3,0,0.075,107.6,0,0,0.3,0.022,0,0.5,0.7,0.3,0.4,2.9,0,0.6,0.099,175.4,0.7,8.8,147.9,1.4,421.4,885.8,0.064,72.517
392,392,soymilk nonfat,68,0.046,0,0,0.046,10.1,8.9,6,0.5,0,0.1,225.2,0.1,0.064,0.092,0.063,0.4,0.8,0,0.084,0,0.071,0.2,0.063,281.9,0.3,0.9,24.3,0,211.4,255.2,0.046,0.2,299.508
393,393,soy flour,23,1.1,0.2,0.2,0.6,1.8,0.4,1.8,0.5,0,0.023,0.3,0,0,0.062,0.058,0,0.002,0.2,0.069,0.009,0,0,0.1,0.061,10.7,0.2,0.3,22.3,0.1,25.7,130.8,0.086,5.488
394,394,soybean lecithin oil,104,13.6,2,1.5,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0.015,0,0,0,0,0,0,0,0,0,13.6
395,395,tofu raw,188,11.9,1.7,2.6,6.7,4.7,0,20,0.7,0,0.06,209.7,0,0.2,0.096,0,0.1,0.5,0.2,0.1,0.2,0,0,0,868,0.5,13.3,74.4,1.5,240.6,300.1,0.005,2,918.8
396,396,soy chips,109,2.1,0.3,0.5,1.1,15,0.5,7.5,1,0,0.2,2.4,0,0.02,0.098,0,0.076,0.8,0.4,0.1,0,0,0.3,0.048,48.4,0.7,1.5,48.1,0.6,2,2,0.099,0.4,75.5
397,397,green soybean raw,376,17.4,2,3.3,8.2,28.3,0,33.2,10.8,0,0.017,172.8,0,1.1,0.4,0,0.4,4.2,0.4,0.2,74.2,0,0,0,504.3,0.3,9.1,166.4,1.4,496.6,1587.2,0.081,2.5,677.3
